year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1907,40.1001,-88.2266,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.22426981,18.00031428,19.3905,AM,NA,14.50556457,799.6244255,0.542333502,223,873.4196446,NA,NA,NA,NA,NA,NA,NA,NA,8234,1230,298.8
1908,47.579938,-122.154696,Sheldon ,C3,Thuja plicata,Thuja,plicata,-26.1589084,20.09456016,4.6917,AM,NA,11.38377976,624.9132479,0.452126909,78,1020.135716,10.19999981,3.299999952,3,4.699999809,79.59999847,25.20000076,21,42.20000076,11121,1008,299.3
1908,39.878419,-105.605837,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.6623502,18.53957981,11.7129,EcM-AM,NA,6.6325,977.4545394,0.629262441,3229,254.7410714,7.300000191,1.100000024,0.699999988,2,102.1999969,12,7.699999809,32.09999847,4485,1286,299.3
1908,44.294455,-68.584708,Sheldon ,C3,Pinus strobus,Pinus,strobus,-25.79280458,19.72147678,11.2191,EcM,NA,11.43446925,786.0986666,0.337484233,30,0,7.599999905,1.799999952,1.399999976,4,100.8000031,18.60000038,9,47.79999924,12538,1019,299.3
1908,44.328181,-71.277875,Sheldon ,C3,Pinus strobus,Pinus,strobus,-25.94057171,19.65031204,3.9036,EcM,NA,10.04633291,794.8886918,0.293944922,610,905.6410707,13.5,4.800000191,2.599999905,10.39999962,213,103.9000015,74,170.5,20211,962,299.3
1908,38.074702,-104.986312,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.4489197,18.31418166,8.0155,EcM-AM,NA,12.57575126,870.9766302,0.840584234,1623,311.8571432,2.700000048,0.899999976,0.699999988,1.299999952,32.5,12.19999981,7.400000095,19.5,2070,1699,299.3
1908,44.3284,-71.2779,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-23.90022464,17.73407296,3.9036,AM,NA,10.04633291,794.8886918,0.293944922,610,905.6410707,13.5,4.800000191,2.599999905,10.39999962,213,103.9000015,74,170.5,20211,962,299.3
1909,41.595996,-73.415387,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.58366219,19.5436606,10.94,AM,NA,12.87115575,769.6560077,0.498901798,283,974.994643,13.69999981,1.799999952,1.5,4,180.6999969,12.69999981,7.099999905,38.5,10288,1138,299.7
1909,41.703563,-72.666475,Sheldon ,C3,Pinus strobus,Pinus,strobus,-28.26705518,22.35908054,58.274,EcM,NA,13.12146194,762.58721,0.518737258,100,956.6446418,NA,NA,NA,NA,NA,NA,NA,NA,9523,1200,299.7
1909,41.702265,-72.66991,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.38378097,18.28986806,58.274,AM,NA,13.12146194,762.58721,0.518737258,100,956.6446418,12.60000038,2,1.600000024,5.099999905,141,19.60000038,9.199999809,46.59999847,9531,1199,299.7
